date,S1_times,S2_times,delta_days
2023-01-12,04:55:00,09:52:52,
2023-01-17,05:03:07,09:53:39,5.0
2023-01-30,16:54:46,10:02:46,13.0
2023-02-04,17:03:03,10:01:15,5.0
2023-02-11,16:54:46,09:50:30,7.0
2023-02-16,17:03:03,09:51:03,5.0
2023-03-01,"04:55:00, 04:55:07",10:00:29,13.0
2023-03-06,"05:03:07, 05:03:14",10:00:21,5.0
2023-03-13,"04:55:00, 04:55:07",09:50:24,7.0
2023-03-18,"05:03:07, 05:03:14",09:50:26,5.0
2023-03-31,16:54:53,10:00:23,13.0
2023-04-05,17:03:10,10:00:21,5.0
2023-04-12,16:54:53,09:50:24,7.0
2023-04-17,17:03:10,09:50:24,5.0
2023-04-30,04:55:07,10:00:22,13.0
2023-05-05,05:03:14,10:00:21,5.0
2023-05-12,04:55:07,09:45:41,7.0
2023-05-17,05:03:14,09:50:24,5.0
2023-05-30,16:54:53,10:00:22,13.0
2023-06-04,17:03:10,09:55:43,5.0
2023-06-11,16:54:53,09:45:40,7.0
2023-06-16,17:03:10,09:50:24,5.0
2023-06-29,04:55:07,10:00:22,13.0
2023-07-04,05:03:14,09:55:43,5.0
2023-07-11,04:55:07,09:45:40,7.0
2023-07-16,05:03:14,09:50:24,5.0
2023-07-29,16:54:53,10:00:22,13.0
2023-08-03,17:03:10,09:55:43,5.0
2023-08-10,16:54:53,09:45:40,7.0
2023-08-15,17:03:10,"09:50:24, 09:50:25",5.0
2023-08-28,04:55:07,10:00:22,13.0
2023-09-02,05:03:14,09:55:43,5.0
2023-09-09,04:55:07,09:45:40,7.0
2023-09-14,05:03:14,09:50:24,5.0
2023-09-27,16:54:53,10:00:22,13.0
2023-10-02,17:03:10,09:57:28,5.0
2023-10-09,16:54:53,09:48:12,7.0
2023-10-14,17:03:10,09:50:24,5.0
2023-10-27,04:55:07,10:01:09,13.0
2023-11-01,05:03:14,10:00:45,5.0
2023-11-08,04:55:07,09:51:16,7.0
2023-11-13,05:03:14,09:52:38,5.0
2023-11-26,16:54:53,10:03:37,13.0
2023-12-01,17:03:10,10:02:57,5.0
2023-12-08,16:54:53,09:53:08,7.0
2023-12-13,17:03:10,09:54:07,5.0
2023-12-26,04:55:07,10:04:24,13.0
2023-12-31,05:03:14,10:03:24,5.0
2024-01-07,04:55:07,09:53:07,7.0
2024-01-12,05:03:14,09:53:52,5.0
2025-01-31,"16:54:48, 16:54:57",09:51:30,385.0
2025-02-05,"17:03:05, 17:03:14",09:52:29,5.0
2025-02-18,04:55:02,10:01:12,13.0
